Meter No.,Data Start Time,Data End Time,Active energy import A+(1.8.0)
21102097598,2023-05-20 19:30:00,2023-05-20 19:45:00,0.028
21102097598,2023-05-20 19:15:00,2023-05-20 19:30:00,0.009
21102097598,2023-05-20 19:00:00,2023-05-20 19:15:00,0.069
21102097598,2023-05-20 18:45:00,2023-05-20 19:00:00,0.018
21102097598,2023-05-20 18:30:00,2023-05-20 18:45:00,0.0
21102097598,2023-05-20 18:15:00,2023-05-20 18:30:00,0.0
21102097598,2023-05-20 18:00:00,2023-05-20 18:15:00,0.015
21102097598,2023-05-20 17:45:00,2023-05-20 18:00:00,0.08
21102097598,2023-05-20 17:30:00,2023-05-20 17:45:00,0.009
21102097598,2023-05-20 17:15:00,2023-05-20 17:30:00,0.087
21102097598,2023-05-20 17:00:00,2023-05-20 17:15:00,0.134
21102097598,2023-05-20 16:45:00,2023-05-20 17:00:00,0.134
21102097598,2023-05-20 16:30:00,2023-05-20 16:45:00,0.124
21102097598,2023-05-20 16:15:00,2023-05-20 16:30:00,0.029
21102097598,2023-05-20 16:00:00,2023-05-20 16:15:00,0.0
21102097598,2023-05-20 15:45:00,2023-05-20 16:00:00,0.0
21102097598,2023-05-20 15:30:00,2023-05-20 15:45:00,0.0
21102097598,2023-05-20 15:15:00,2023-05-20 15:30:00,0.0
21102097598,2023-05-20 15:00:00,2023-05-20 15:15:00,0.0
21102097598,2023-05-20 14:45:00,2023-05-20 15:00:00,0.0
21102097598,2023-05-20 14:30:00,2023-05-20 14:45:00,0.0
21102097598,2023-05-20 14:15:00,2023-05-20 14:30:00,0.0
21102097598,2023-05-20 14:00:00,2023-05-20 14:15:00,0.0
21102097598,2023-05-20 13:45:00,2023-05-20 14:00:00,0.008
21102097598,2023-05-20 13:30:00,2023-05-20 13:45:00,0.016
21102097598,2023-05-20 13:15:00,2023-05-20 13:30:00,0.0
21102097598,2023-05-20 13:00:00,2023-05-20 13:15:00,0.013
21102097598,2023-05-20 12:45:00,2023-05-20 13:00:00,0.075
21102097598,2023-05-20 12:30:00,2023-05-20 12:45:00,0.042
21102097598,2023-05-20 12:15:00,2023-05-20 12:30:00,0.0
21102097598,2023-05-20 12:00:00,2023-05-20 12:15:00,0.0
21102097598,2023-05-20 11:45:00,2023-05-20 12:00:00,0.0
21102097598,2023-05-20 11:30:00,2023-05-20 11:45:00,0.0
21102097598,2023-05-20 11:15:00,2023-05-20 11:30:00,0.002
21102097598,2023-05-20 11:00:00,2023-05-20 11:15:00,0.0
21102097598,2023-05-20 10:45:00,2023-05-20 11:00:00,0.025
21102097598,2023-05-20 10:30:00,2023-05-20 10:45:00,0.0
21102097598,2023-05-20 10:15:00,2023-05-20 10:30:00,0.003
21102097598,2023-05-20 10:00:00,2023-05-20 10:15:00,0.0
21102097598,2023-05-20 09:45:00,2023-05-20 10:00:00,0.0
21102097598,2023-05-20 09:30:00,2023-05-20 09:45:00,0.001
21102097598,2023-05-20 09:15:00,2023-05-20 09:30:00,0.05
21102097598,2023-05-20 09:00:00,2023-05-20 09:15:00,0.039
21102097598,2023-05-20 08:45:00,2023-05-20 09:00:00,0.004
21102097598,2023-05-20 08:30:00,2023-05-20 08:45:00,0.0
21102097598,2023-05-20 08:15:00,2023-05-20 08:30:00,0.0
21102097598,2023-05-20 08:00:00,2023-05-20 08:15:00,0.003
21102097598,2023-05-20 07:45:00,2023-05-20 08:00:00,0.008
21102097598,2023-05-20 07:30:00,2023-05-20 07:45:00,0.014
21102097598,2023-05-20 07:15:00,2023-05-20 07:30:00,0.03
21102097598,2023-05-20 07:00:00,2023-05-20 07:15:00,0.098
21102097598,2023-05-20 06:45:00,2023-05-20 07:00:00,0.103
21102097598,2023-05-20 06:30:00,2023-05-20 06:45:00,0.147
21102097598,2023-05-20 06:15:00,2023-05-20 06:30:00,0.166
21102097598,2023-05-20 06:00:00,2023-05-20 06:15:00,0.17
21102097598,2023-05-20 05:45:00,2023-05-20 06:00:00,0.162
21102097598,2023-05-20 05:30:00,2023-05-20 05:45:00,0.168
21102097598,2023-05-20 05:15:00,2023-05-20 05:30:00,0.182
21102097598,2023-05-20 05:00:00,2023-05-20 05:15:00,0.185
21102097598,2023-05-20 04:45:00,2023-05-20 05:00:00,0.17
21102097598,2023-05-20 04:30:00,2023-05-20 04:45:00,0.165
21102097598,2023-05-20 04:15:00,2023-05-20 04:30:00,0.17
21102097598,2023-05-20 04:00:00,2023-05-20 04:15:00,0.182
21102097598,2023-05-20 03:45:00,2023-05-20 04:00:00,0.168
21102097598,2023-05-20 03:30:00,2023-05-20 03:45:00,0.173
21102097598,2023-05-20 03:15:00,2023-05-20 03:30:00,0.153
21102097598,2023-05-20 03:00:00,2023-05-20 03:15:00,0.17
21102097598,2023-05-20 02:45:00,2023-05-20 03:00:00,0.161
21102097598,2023-05-20 02:30:00,2023-05-20 02:45:00,0.176
21102097598,2023-05-20 02:15:00,2023-05-20 02:30:00,0.177
21102097598,2023-05-20 02:00:00,2023-05-20 02:15:00,0.183
21102097598,2023-05-20 01:45:00,2023-05-20 02:00:00,0.197
21102097598,2023-05-20 01:30:00,2023-05-20 01:45:00,0.169
21102097598,2023-05-20 01:15:00,2023-05-20 01:30:00,0.158
21102097598,2023-05-20 01:00:00,2023-05-20 01:15:00,0.15
21102097598,2023-05-20 00:45:00,2023-05-20 01:00:00,0.161
21102097598,2023-05-20 00:30:00,2023-05-20 00:45:00,0.167
21102097598,2023-05-20 00:15:00,2023-05-20 00:30:00,0.133
21102097598,2023-05-20 00:00:00,2023-05-20 00:15:00,0.141
21102097598,2023-05-19 23:45:00,2023-05-20 00:00:00,0.173
21102097598,2023-05-19 23:30:00,2023-05-19 23:45:00,0.214
21102097598,2023-05-19 23:15:00,2023-05-19 23:30:00,0.189
21102097598,2023-05-19 23:00:00,2023-05-19 23:15:00,0.169
